id,carat,cut,color,clarity,depth,table,x,y,z,price
104,0.46,Very Good,G,VS1,61.4,59.7,4.94,4.97,3.05,7.072
105,1.04,Very Good,H,VVS2,59.1,60.0,6.6,6.66,3.92,8.727
106,0.79,Very Good,D,SI2,62.8,59.0,5.86,5.9,3.69,7.946
107,1.5,Ideal,F,SI1,62.0,53.0,7.32,7.29,4.53,9.342
108,0.52,Good,F,SI2,61.5,60.5,5.11,5.16,3.16,7.065
109,0.9,Premium,J,SI1,61.8,58.0,6.16,6.13,3.8,7.963
110,0.53,Premium,F,SI1,61.4,58.0,5.19,5.17,3.18,7.188
111,0.27,Ideal,E,VVS1,61.7,57.0,4.14,4.16,2.56,6.491
112,0.75,Premium,E,SI1,62.8,56.0,5.78,5.75,3.62,7.9
113,0.31,Ideal,H,SI1,61.5,56.0,4.36,4.39,2.69,6.382
114,1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,8.854
115,0.51,Premium,G,VVS1,60.1,56.0,5.35,5.16,3.16,7.655
116,0.25,Premium,G,SI2,58.8,60.0,5.33,5.28,3.12,7.078
117,1.09,Ideal,F,SI2,61.6,55.0,6.59,6.65,4.08,8.545
118,1.17,Premium,H,SI1,62.3,57.0,6.75,6.71,4.19,8.518
119,0.37,Ideal,F,VVS2,61.6,57.0,4.59,4.63,2.84,6.824
120,0.23,Very Good,F,VVS2,61.5,56.0,3.95,4.0,2.44,6.368
121,1.01,Good,F,SI1,63.3,59.0,6.38,6.42,4.05,8.497
122,0.53,Ideal,G,VVS2,61.7,54.5,5.2,5.26,3.23,7.597
123,0.71,Ideal,G,VVS1,61.7,57.0,5.75,5.7,3.53,7.983
124,0.31,Very Good,G,IF,61.6,54.0,4.4,4.43,2.72,6.792
125,0.31,Ideal,H,IF,62.0,54.0,4.38,4.4,2.72,6.671
126,0.5,Very Good,G,VS2,62.8,56.0,5.05,5.08,3.18,7.225
127,0.33,Ideal,G,VS1,61.4,54.0,4.48,4.44,2.74,6.75
128,0.26,Ideal,F,VVS2,62.5,56.0,4.12,4.1,2.57,6.645
129,0.26,Very Good,H,VVS2,63.3,58.0,4.08,4.04,2.57,6.397
130,0.4,Premium,E,SI1,62.2,62.0,4.69,4.66,2.91,6.782
131,1.29,Ideal,I,SI1,61.9,56.0,6.97,7.03,4.33,8.76
132,0.61,Very Good,H,VVS2,60.5,57.0,5.52,5.54,3.35,7.586
133,0.24,Ideal,E,SI1,62.5,56.0,4.01,3.99,2.5,6.186
134,1.74,Good,G,VS1,58.6,62.0,7.83,7.88,4.6,9.694
135,1.08,Ideal,H,SI2,60.4,57.0,6.68,6.63,4.02,8.42
136,0.73,Premium,F,VS1,61.9,56.0,5.81,5.76,3.58,7.993
137,0.7,Premium,G,I1,61.6,56.0,5.8,5.63,3.52,7.037
138,0.4,Ideal,F,VVS1,61.7,56.0,4.72,4.75,2.92,7.141
139,0.43,Ideal,F,SI2,61.6,55.0,4.87,4.9,3.01,6.548
140,1.19,Good,E,VS2,57.4,60.0,6.9,7.0,3.99,8.845
141,0.41,Ideal,E,SI2,59.8,55.0,4.81,4.93,2.91,6.526
142,0.51,Ideal,G,VVS2,60.1,56.0,5.19,5.22,3.13,7.536
143,0.31,Ideal,F,IF,61.6,56.0,4.35,4.38,2.69,6.804
144,1.08,Good,F,SI2,58.0,61.0,6.72,6.77,3.91,8.387
145,1.0,Premium,F,SI1,62.8,61.0,6.37,6.25,3.96,8.3
146,0.51,Ideal,H,VS2,60.9,56.4,5.15,5.18,3.15,7.219
147,0.92,Premium,G,SI2,62.3,59.0,6.15,6.2,3.85,8.125
148,0.71,Very Good,G,VS2,63.1,54.0,5.64,5.7,3.58,7.853
149,1.01,Good,I,VS2,63.9,59.0,6.29,6.26,4.01,8.342
150,0.74,Premium,E,VS1,61.1,58.0,5.84,5.81,3.56,8.132
151,0.91,Ideal,F,VS2,62.6,55.0,6.2,6.23,3.89,8.568
152,0.51,Ideal,F,VS1,60.9,56.0,5.17,5.2,3.16,7.643
153,0.9,Very Good,E,SI1,63.1,58.0,6.12,6.02,3.83,8.331
154,0.31,Premium,E,SI1,59.3,59.0,4.42,4.48,2.64,6.299
155,1.0,Ideal,D,SI1,60.6,56.0,6.54,6.5,3.95,8.679
156,0.41,Ideal,F,VS2,60.9,57.0,4.74,4.78,2.9,6.76
157,0.4,Premium,F,VS1,60.5,60.0,4.76,4.8,2.89,6.89
158,1.19,Very Good,H,SI1,63.3,55.0,6.76,6.69,4.26,8.648
159,0.71,Premium,F,SI2,62.3,60.0,5.67,5.7,3.54,7.63
160,1.01,Good,D,SI2,63.6,56.0,6.38,6.33,4.04,8.477
161,0.77,Ideal,D,VS1,62.2,55.0,5.85,5.88,3.65,8.304
162,0.9,Fair,H,VS2,64.6,55.0,6.07,6.0,3.9,8.171
163,1.27,Ideal,F,SI2,62.0,55.0,6.95,6.9,4.3,8.595
164,0.72,Good,F,VS2,63.5,55.0,5.7,5.74,3.63,7.901
165,0.3,Ideal,D,VS2,62.0,56.0,4.33,4.35,2.69,6.565
166,1.01,Good,G,VS2,63.2,57.0,6.3,6.35,4.0,8.63
167,1.53,Very Good,G,SI2,62.1,61.0,7.28,7.3,4.53,9.043
168,0.37,Ideal,D,VS2,61.0,56.0,4.65,4.7,2.85,6.775
169,1.02,Ideal,F,SI2,62.4,57.0,6.43,6.4,4.0,8.389
170,0.53,Ideal,H,SI1,61.3,55.0,5.23,5.27,3.22,7.145
171,1.02,Ideal,G,VS1,61.1,56.0,6.51,6.54,3.99,8.865
172,1.01,Good,D,SI1,63.9,60.0,6.32,6.29,4.03,8.546
173,0.27,Premium,D,VS2,62.0,57.0,4.15,4.11,2.56,6.402
174,2.21,Ideal,G,SI2,61.9,55.0,8.4,8.36,5.19,9.813
175,1.01,Fair,E,VS2,65.3,59.0,6.15,6.1,4.0,8.68
176,0.4,Very Good,F,VVS2,62.0,56.0,4.71,4.74,2.93,6.956
177,1.1,Premium,G,SI1,59.6,60.0,6.74,6.7,4.0,8.458
178,0.71,Very Good,G,SI1,61.2,61.0,5.66,5.71,3.48,7.726
179,0.52,Ideal,H,SI1,61.0,56.0,5.2,5.23,3.18,7.109
180,0.3,Ideal,G,VVS2,62.0,57.0,4.29,4.32,2.67,6.528
181,0.3,Ideal,D,VS2,61.9,57.0,4.29,4.33,2.67,6.565
182,0.91,Very Good,H,SI1,63.4,56.0,6.18,6.1,3.89,8.235
183,0.57,Very Good,F,SI1,58.6,57.0,5.37,5.59,3.21,7.218
184,0.8,Ideal,G,SI1,61.3,57.0,5.96,5.91,3.64,7.961
185,0.31,Ideal,D,SI1,62.4,56.0,4.31,4.35,2.7,6.347
186,1.26,Premium,H,SI2,62.0,56.0,6.92,6.88,4.28,8.431
187,0.31,Ideal,F,IF,61.7,56.0,4.38,4.41,2.71,6.804
188,0.77,Very Good,F,SI2,60.1,56.0,5.94,5.97,3.58,7.889
189,0.54,Premium,G,SI1,61.1,60.0,5.24,5.2,3.19,7.2
190,0.71,Premium,E,SI1,59.1,60.0,5.87,5.84,3.46,7.8
191,0.41,Ideal,D,VS1,61.6,55.0,4.79,4.82,2.96,6.825
192,1.05,Ideal,F,SI2,62.7,54.0,6.5,6.54,4.09,8.49
193,0.34,Premium,F,SI1,59.3,60.0,4.58,4.52,2.7,6.589
194,1.5,Premium,F,SI1,62.1,60.0,7.32,7.27,4.53,9.079
195,0.31,Very Good,F,SI1,63.2,56.0,4.31,4.27,2.71,6.497
196,0.3,Ideal,D,VVS2,60.7,58.0,4.3,4.33,2.62,6.702
197,0.5,Very Good,I,SI1,63.4,62.0,5.0,4.95,3.15,6.978
198,0.58,Ideal,E,VS2,61.1,57.0,5.39,5.41,3.3,7.541
199,1.02,Ideal,F,VS2,62.7,57.0,6.47,6.44,4.05,8.815
200,2.11,Ideal,J,VS2,61.2,55.0,8.33,8.3,5.09,9.591
201,0.72,Premium,F,VS1,58.8,60.0,5.91,5.89,3.47,7.951
202,1.23,Ideal,F,SI2,62.1,57.0,6.83,6.8,4.23,8.48
203,1.24,Premium,I,VS2,61.2,58.0,6.94,6.89,4.23,8.488
204,0.39,Premium,G,VS2,62.3,59.0,4.69,4.65,2.91,6.917
205,1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,9.098
206,0.92,Very Good,G,SI2,62.4,60.0,6.18,6.22,3.87,8.22
207,1.01,Fair,H,VS1,67.1,59.0,6.16,6.09,4.11,8.21
208,0.71,Very Good,G,VS2,62.1,58.0,5.65,5.71,3.53,7.974
209,0.71,Ideal,G,SI1,61.3,55.0,5.73,5.79,3.53,8.009
210,1.02,Premium,F,SI2,59.9,59.0,6.56,6.59,3.94,8.334
211,0.84,Very Good,H,SI1,61.2,57.0,6.1,6.12,3.74,7.954
212,1.0,Good,J,VVS1,63.5,59.0,6.29,6.34,4.01,8.441
213,2.0,Good,D,SI2,63.8,57.0,7.93,7.88,5.04,9.262
214,0.28,Very Good,E,VVS2,63.6,56.0,4.13,4.17,2.64,6.39
215,0.99,Fair,I,SI1,60.7,66.0,6.42,6.34,3.87,8.113
216,1.51,Ideal,E,SI2,62.9,57.0,7.29,7.23,4.57,9.16
217,1.01,Good,D,SI1,57.6,60.0,6.59,6.64,3.81,8.613
218,1.51,Ideal,I,VS2,62.9,57.0,7.27,7.23,4.56,9.091
219,0.41,Very Good,G,VS1,61.6,59.0,4.74,4.8,2.94,6.811
220,1.6,Ideal,F,SI1,62.2,55.0,7.47,7.5,4.65,9.424
221,0.41,Ideal,E,VVS2,61.1,57.0,4.82,4.77,2.93,7.231
222,0.7,Ideal,H,SI1,61.4,56.0,5.72,5.77,3.53,7.943
223,0.72,Ideal,G,SI2,62.5,57.0,5.71,5.75,3.58,7.64
224,0.5,Good,J,VS2,63.2,60.0,5.01,5.06,3.18,6.872
225,0.31,Good,I,VS1,63.7,55.0,4.33,4.3,2.75,6.443
226,0.26,Very Good,E,VVS1,61.8,59.0,4.11,4.14,2.55,6.29
227,0.62,Ideal,G,VS1,61.8,57.0,5.47,5.5,3.39,7.669
228,0.31,Premium,E,VS1,61.0,60.0,4.35,4.37,2.66,6.455
229,0.35,Ideal,I,VVS2,62.3,57.0,4.53,4.49,2.81,6.669
230,0.59,Ideal,D,SI1,61.8,56.0,5.4,5.37,3.33,7.556
231,0.35,Good,E,SI2,64.0,55.0,4.49,4.45,2.86,6.377
232,0.53,Ideal,F,VS1,61.8,56.0,5.22,5.2,3.22,7.554
233,0.57,Ideal,F,VS1,61.0,56.0,5.36,5.4,3.28,7.693
234,1.03,Premium,F,SI2,62.2,60.0,6.47,6.45,4.02,8.207
235,0.31,Very Good,J,VS2,62.7,58.0,4.3,4.34,2.71,5.94
236,0.27,Premium,H,VVS2,60.7,59.0,4.19,4.21,2.55,6.186
237,1.32,Premium,I,SI2,60.8,58.0,7.03,7.11,4.3,8.456
238,0.35,Premium,F,VS2,62.0,59.0,4.51,4.55,2.81,6.56
239,0.74,Ideal,G,SI2,61.7,56.0,5.8,5.87,3.6,7.897
240,0.72,Premium,J,VS1,63.0,56.0,5.72,5.67,3.59,7.536
241,0.83,Very Good,H,VS1,63.1,60.0,5.91,5.98,3.75,8.056
242,0.32,Ideal,E,VS1,61.7,56.0,4.39,4.42,2.72,6.631
243,0.51,Good,H,SI1,63.7,56.0,5.07,5.1,3.24,7.02
244,0.3,Good,H,SI2,63.9,56.0,4.24,4.27,2.72,5.908
245,0.33,Ideal,H,VVS1,61.5,56.0,4.46,4.49,2.75,6.593
246,0.31,Good,E,SI1,63.6,57.0,4.3,4.28,2.73,6.548
247,0.81,Premium,G,SI2,62.5,57.0,5.95,5.89,3.7,7.83
248,0.63,Good,F,SI2,64.2,56.0,5.4,5.34,3.45,7.123
249,1.5,Very Good,H,VS2,62.8,57.0,7.25,7.3,4.57,9.302
250,0.33,Ideal,F,VVS1,62.1,56.0,4.46,4.43,2.76,6.968
251,0.73,Ideal,G,SI1,62.1,54.0,5.81,5.76,3.59,7.763
252,0.72,Very Good,H,SI2,62.9,57.0,5.64,5.68,3.56,7.586
253,1.03,Ideal,G,VVS1,61.7,56.0,6.45,6.56,4.0,8.95
254,1.59,Ideal,H,VS1,60.7,56.0,7.54,7.58,4.59,9.535
255,2.3,Premium,H,SI2,60.6,59.0,8.4,8.37,5.08,9.55
256,0.9,Ideal,H,SI1,62.1,56.0,6.14,6.19,3.83,8.41
257,2.02,Premium,E,SI2,59.9,58.0,8.18,8.14,4.89,9.523
258,0.3,Very Good,E,VS2,62.4,56.0,4.25,4.28,2.66,6.489
259,0.33,Very Good,D,VS1,60.3,61.0,4.48,4.51,2.71,6.589
260,0.91,Very Good,D,VS2,62.7,59.0,6.13,6.16,3.85,8.46
261,1.5,Premium,G,SI2,62.0,62.0,7.31,7.25,4.51,9.011
262,0.52,Ideal,F,SI2,60.9,57.0,5.22,5.2,3.17,7.112
263,0.43,Ideal,E,SI1,62.6,56.0,4.82,4.79,3.01,6.882
264,0.66,Ideal,D,VS2,61.8,56.0,5.6,5.57,3.45,7.591
265,0.32,Ideal,D,VS2,62.1,56.0,4.43,4.39,2.74,6.879
266,0.58,Ideal,G,SI2,62.1,54.0,5.36,5.39,3.34,7.101
267,1.0,Good,G,VS1,63.6,59.0,6.34,6.3,4.02,8.774
268,0.59,Very Good,H,SI1,62.8,56.0,5.35,5.38,3.37,7.157
269,1.22,Premium,G,VS2,61.1,56.0,6.94,6.85,4.21,8.995
270,1.01,Fair,G,SI1,66.1,56.0,6.26,6.2,4.12,8.208
271,1.1,Premium,H,SI2,59.2,59.0,6.8,6.74,4.01,8.128
272,0.36,Ideal,D,SI1,61.6,56.0,4.59,4.6,2.83,6.686
273,0.5,Ideal,H,VS1,61.9,54.0,5.12,5.15,3.18,7.223
274,1.08,Fair,E,SI2,64.9,60.0,6.43,6.39,4.16,8.259
275,0.41,Premium,G,VS1,61.9,60.0,4.7,4.76,2.93,6.801
276,1.01,Premium,F,SI1,62.2,58.0,6.35,6.28,3.93,8.471
277,1.2,Very Good,H,SI1,62.1,58.0,6.72,6.77,4.19,8.703
278,0.57,Ideal,F,VS2,62.1,55.0,5.35,5.31,3.31,7.473
279,0.29,Ideal,H,IF,62.2,55.0,4.25,4.28,2.65,6.409
280,0.38,Ideal,I,VVS2,62.0,55.0,4.65,4.67,2.89,6.729
281,0.41,Ideal,F,VVS1,61.7,57.0,4.77,4.8,2.95,7.166
282,1.51,Premium,F,SI1,62.2,58.0,7.27,7.29,4.53,9.277
283,1.01,Very Good,H,VS2,61.0,63.0,6.41,6.38,3.9,8.527
284,2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,9.754
285,0.51,Premium,G,VS2,62.7,58.0,5.12,5.09,3.2,7.343
286,0.59,Premium,D,SI2,62.6,61.0,5.33,5.27,3.32,7.371
287,0.91,Premium,F,SI2,62.6,58.0,6.14,6.09,3.83,8.228
288,1.71,Premium,I,SI2,60.6,57.0,7.78,7.71,4.69,9.186
289,0.53,Ideal,E,VS2,62.3,57.0,5.23,5.19,3.25,7.579
290,0.3,Very Good,G,VS1,60.2,62.0,4.3,4.31,2.59,6.337
291,1.71,Premium,G,SI2,60.9,58.0,7.72,7.68,4.69,9.337
292,0.85,Ideal,D,SI1,61.9,56.0,6.03,6.09,3.75,8.383
293,1.1,Good,I,SI1,63.7,59.0,6.56,6.5,4.16,8.411
294,0.91,Good,G,SI2,62.5,60.0,6.05,6.08,3.79,8.055
295,0.41,Premium,G,SI1,61.4,60.0,4.82,4.75,2.94,6.828
296,0.31,Premium,E,VS1,61.1,58.0,4.34,4.37,2.66,6.599
297,1.5,Good,F,VS2,63.6,55.0,7.27,7.22,4.61,9.536
298,1.52,Ideal,F,SI1,61.5,55.0,7.41,7.44,4.57,9.423
299,0.41,Premium,G,VVS1,60.0,59.0,4.84,4.83,2.9,7.115
300,0.7,Ideal,G,VS1,61.1,56.0,5.72,5.74,3.5,8.012
301,0.37,Very Good,G,VVS2,59.9,55.0,4.71,4.75,2.83,6.652
302,0.74,Ideal,G,VVS2,61.7,55.0,5.8,5.83,3.59,8.274
303,0.3,Ideal,G,VS1,62.2,55.0,4.31,4.28,2.67,6.654
304,1.04,Premium,H,VS2,62.7,61.0,6.48,6.44,4.05,8.597
305,1.21,Fair,H,VS2,64.5,56.0,6.7,6.66,4.31,8.525
306,0.36,Ideal,G,VS1,61.4,56.0,4.55,4.6,2.81,6.855
307,0.41,Very Good,D,SI1,63.3,55.0,4.77,4.74,3.01,6.853
308,0.34,Ideal,H,VVS2,61.2,56.0,4.51,4.54,2.77,6.503
309,0.3,Premium,E,VS2,61.9,59.0,4.33,4.29,2.67,6.738
310,0.24,Very Good,F,VVS1,59.0,59.0,4.05,4.08,2.4,6.314
311,1.24,Premium,F,VS1,58.0,58.0,7.16,7.02,4.11,9.203
312,0.53,Ideal,H,VVS1,60.8,56.0,5.24,5.26,3.19,7.485
313,1.33,Premium,G,SI2,63.0,59.0,7.0,6.97,4.4,8.776
314,0.54,Premium,E,VVS1,62.7,58.0,5.16,5.21,3.25,7.771
315,1.08,Ideal,F,SI1,62.9,57.0,6.54,6.53,4.11,8.538
316,0.32,Ideal,H,VS2,62.5,55.0,4.38,4.42,2.75,6.225
317,0.57,Ideal,H,VS2,61.6,57.0,5.35,5.37,3.3,7.412
318,1.25,Premium,I,VS1,60.4,59.0,6.94,7.01,4.21,8.786
319,1.55,Premium,H,SI1,60.7,58.0,7.5,7.46,4.54,9.186
320,0.93,Ideal,E,SI1,61.9,55.0,6.26,6.31,3.89,8.414
321,0.47,Ideal,G,IF,62.1,54.0,4.99,5.02,3.11,7.503
322,0.27,Ideal,E,VVS2,62.0,55.0,4.14,4.12,2.56,6.683
323,0.56,Very Good,D,SI1,62.5,58.0,5.23,5.27,3.28,7.364
324,1.0,Good,G,SI1,64.4,54.0,6.29,6.32,4.06,8.493
325,0.52,Ideal,E,VS1,62.5,56.0,5.16,5.11,3.21,7.492
326,0.5,Premium,E,VS2,61.3,58.0,5.12,5.06,3.12,7.465
327,0.32,Ideal,I,VS1,62.3,57.0,4.42,4.37,2.74,6.474
328,0.36,Ideal,G,SI1,61.1,55.0,4.58,4.62,2.81,6.347
329,1.13,Ideal,H,I1,61.1,56.0,6.77,6.71,4.12,8.208
330,0.6,Ideal,D,VS2,62.8,57.0,5.37,5.39,3.38,7.631
331,0.4,Premium,D,SI1,59.9,60.0,4.75,4.77,2.85,6.649
332,0.5,Very Good,E,VS2,63.4,58.0,5.06,5.04,3.2,7.396
333,0.29,Very Good,E,VS1,62.4,55.0,4.2,4.25,2.63,6.319
334,0.48,Good,G,VS2,65.4,59.0,4.79,4.88,3.16,6.992
335,0.3,Ideal,H,SI1,62.4,53.7,4.29,4.31,2.68,6.091
336,1.2,Very Good,H,VS1,62.0,57.0,6.77,6.81,4.21,8.729
337,0.46,Ideal,E,VVS2,62.6,55.0,4.95,4.92,3.09,7.459
338,1.51,Good,I,VVS1,64.0,60.0,7.26,7.21,4.63,9.156
339,0.31,Ideal,H,VS2,62.0,57.0,4.33,4.38,2.7,6.192
340,0.56,Ideal,D,SI2,61.0,57.0,5.3,5.34,3.24,7.244
341,0.9,Premium,H,VVS1,62.3,59.0,6.15,6.09,3.81,8.495
342,0.55,Ideal,F,SI1,60.2,56.0,5.32,5.37,3.22,7.278
